Instituição,Curso,A.Ingresso,A.Referencia,Intregalização,P.maximo,Integrantes,Permanecia.A.R,Concluintes.A.R,Desistencia A.R,Taxa Permanencia,Conclusão Acumulada,Desistencia Acmld,Conclusão Anual,Desistencia Anual
UNIVERSIDADE DE BRASÍLIA,ENGENHARIA CIVIL,2017,2017,2021,2024,96,91,0,5,"94,8","0,0","5,2","0,0","5,2"
UNIVERSIDADE DE BRASÍLIA,ENGENHARIA CIVIL,2017,2018,2021,2024,96,76,1,14,"79,2","1,0","19,8","1,0","14,6"
UNIVERSIDADE DE BRASÍLIA,ENGENHARIA CIVIL,2017,2019,2021,2024,96,66,2,8,"68,8","3,1","28,1","2,1","8,3"
UNIVERSIDADE DE BRASÍLIA,ENGENHARIA CIVIL,2017,2020,2021,2024,96,61,5,0,"63,5","8,3","28,1","5,2","0,0"
UNIVERSIDADE DE BRASÍLIA,ENGENHARIA CIVIL,2017,2021,2021,2024,96,57,4,0,"59,4","12,5","28,1","4,2","0,0"
UNIVERSIDADE DE BRASÍLIA,ENGENHARIA ELÉTRICA,2017,2017,2022,2026,97,94,0,3,"96,9","0,0","3,1","0,0","3,1"
UNIVERSIDADE DE BRASÍLIA,ENGENHARIA ELÉTRICA,2017,2018,2022,2026,97,81,0,13,"83,5","0,0","16,5","0,0","13,4"
UNIVERSIDADE DE BRASÍLIA,ENGENHARIA ELÉTRICA,2017,2019,2022,2026,97,70,1,10,"72,2","1,0","26,8","1,0","10,3"
UNIVERSIDADE DE BRASÍLIA,ENGENHARIA ELÉTRICA,2017,2020,2022,2026,97,63,5,2,"64,9","6,2","28,9","5,2","2,1"
UNIVERSIDADE DE BRASÍLIA,ENGENHARIA ELÉTRICA,2017,2021,2022,2026,97,55,8,0,"56,7","14,4","28,9","8,2","0,0"
UNIVERSIDADE DE BRASÍLIA,ENGENHARIA MECÂNICA,2017,2017,2021,2024,99,95,0,4,"96,0","0,0","4,0","0,0","4,0"
UNIVERSIDADE DE BRASÍLIA,ENGENHARIA MECÂNICA,2017,2018,2021,2024,99,78,0,17,"78,8","0,0","21,2","0,0","17,2"
UNIVERSIDADE DE BRASÍLIA,ENGENHARIA MECÂNICA,2017,2019,2021,2024,99,66,0,12,"66,7","0,0","33,3","0,0","12,1"
UNIVERSIDADE DE BRASÍLIA,ENGENHARIA MECÂNICA,2017,2020,2021,2024,99,57,5,4,"57,6","5,1","37,4","5,1","4,0"
UNIVERSIDADE DE BRASÍLIA,ENGENHARIA MECÂNICA,2017,2021,2021,2024,99,51,4,2,"51,5","9,1","39,4","4,0","2,0"
UNIVERSIDADE DE BRASÍLIA,ENGENHARIA FLORESTAL,2017,2017,2021,2024,99,95,0,4,"96,0","0,0","4,0","0,0","4,0"
UNIVERSIDADE DE BRASÍLIA,ENGENHARIA FLORESTAL,2017,2018,2021,2024,99,77,0,18,"77,8","0,0","22,2","0,0","18,2"
UNIVERSIDADE DE BRASÍLIA,ENGENHARIA FLORESTAL,2017,2019,2021,2024,99,64,2,11,"64,6","2,0","33,3","2,0","11,1"
UNIVERSIDADE DE BRASÍLIA,ENGENHARIA FLORESTAL,2017,2020,2021,2024,99,63,0,1,"63,6","2,0","34,3","0,0","1,0"
UNIVERSIDADE DE BRASÍLIA,ENGENHARIA FLORESTAL,2017,2021,2021,2024,99,55,7,1,"55,6","9,1","35,4","7,1","1,0"
UNIVERSIDADE DE BRASÍLIA,ENGENHARIA DE REDES DE COMUNICAÇÃO,2017,2017,2022,2026,81,77,0,4,"95,1","0,0","4,9","0,0","4,9"
UNIVERSIDADE DE BRASÍLIA,ENGENHARIA DE REDES DE COMUNICAÇÃO,2017,2018,2022,2026,81,64,0,13,"79,0","0,0","21,0","0,0","16,0"
UNIVERSIDADE DE BRASÍLIA,ENGENHARIA DE REDES DE COMUNICAÇÃO,2017,2019,2022,2026,81,50,2,12,"61,7","2,5","35,8","2,5","14,8"
UNIVERSIDADE DE BRASÍLIA,ENGENHARIA DE REDES DE COMUNICAÇÃO,2017,2020,2022,2026,81,48,0,2,"59,3","2,5","38,3","0,0","2,5"
UNIVERSIDADE DE BRASÍLIA,ENGENHARIA DE REDES DE COMUNICAÇÃO,2017,2021,2022,2026,81,47,1,0,"58,0","3,7","38,3","1,2","0,0"